episode,avg_reward,avg_loss,avg_td_error,capital,sma_reward
80.0,-119.28571428571429,3.6402736618405296,-121.44886997767857,0.0,-117.85714285714286
81.0,-127.85714285714286,4.178123281115577,-123.00074404761905,0.0,-118.5
82.0,-132.85714285714286,2.8213314442407516,-97.79580543154762,0.0,-119.71428571428574
83.0,-113.57142857142857,3.5259458678109303,-118.47750418526786,0.0,-120.0
84.0,-132.85714285714286,3.8279718785058883,-129.2145531063988,0.0,-122.0
85.0,-92.85714285714286,4.140309663045974,-132.92874581473214,0.0,-120.35714285714286
86.0,-117.14285714285714,3.7700478803543818,-103.06426711309524,0.0,-119.5
87.0,-136.42857142857142,3.7543600627354214,-124.07549758184524,0.0,-121.28571428571429
88.0,-128.57142857142858,4.529550915672665,-148.0212867373512,0.0,-122.0
89.0,-137.85714285714286,4.527028106507801,-105.1235584077381,0.0,-123.92857142857144
90.0,-122.85714285714286,3.546226966948736,-74.47846912202381,0.0,-124.28571428571429
91.0,-122.14285714285714,3.5476168450855075,-70.73233468191964,0.0,-123.71428571428571
92.0,-121.42857142857143,3.4206108252207437,-89.40708705357143,0.0,-122.57142857142856
93.0,-130.71428571428572,4.27814024970645,-118.51962425595238,0.0,-124.28571428571429
94.0,-117.85714285714286,4.096210752214704,-93.54036458333333,0.0,-122.78571428571429
95.0,-137.85714285714286,4.094284965878441,-92.05555361793155,0.0,-127.28571428571429
96.0,-109.28571428571429,4.093270983014788,-91.48503766741071,0.0,-126.5
97.0,-123.57142857142857,3.9060710838862827,-78.82474772135417,0.0,-125.21428571428574
98.0,-120.0,4.193205163592384,-83.30851236979167,0.0,-124.35714285714286
99.0,-128.57142857142858,3.3541883627573648,-56.89724586123512,0.0,-123.42857142857142
100.0,-127.85714285714286,3.4578950859251476,-68.05525716145833,0.0,-123.92857142857142
101.0,-115.0,4.3397163436526345,-107.40415736607143,0.0,-123.21428571428571
102.0,-127.85714285714286,4.321001699992588,-98.77120535714286,0.0,-123.85714285714286
103.0,-117.85714285714286,4.076356581279209,-83.86058407738095,0.0,-122.57142857142858
104.0,-123.57142857142857,4.0121803397224065,-94.91605050223214,0.0,-123.14285714285714
105.0,-89.28571428571429,4.147304319200062,-62.10273670014881,0.0,-118.28571428571429
106.0,-127.85714285714286,3.636540412902832,-117.82431175595238,0.0,-120.14285714285715
107.0,-106.42857142857143,3.8034531956627253,-89.02278064546131,0.0,-118.42857142857142
108.0,-121.42857142857143,2.8070188022795177,-80.11311267671131,0.0,-118.57142857142858
109.0,-118.57142857142857,4.564590885525658,-140.3544689360119,0.0,-117.57142857142858
110.0,-119.28571428571429,3.644977478753953,-104.99497767857143,0.0,-116.71428571428571
111.0,-99.28571428571429,4.1610797473362515,-102.66893368675595,0.0,-115.14285714285715
112.0,-117.14285714285714,4.2644042401086715,-95.92134021577381,0.0,-114.07142857142858
113.0,-116.42857142857143,4.073701358976818,-107.80461774553571,0.0,-113.92857142857142
114.0,-120.0,4.295668159212385,-92.61489722842262,0.0,-113.57142857142858
115.0,-102.14285714285714,3.3533170223236084,-80.18930199032738,0.0,-114.85714285714286
116.0,-110.0,3.624405100232079,-101.5790783110119,0.0,-113.07142857142858
117.0,-136.42857142857142,4.1361183893112905,-110.83716982886905,0.0,-116.07142857142856
118.0,-120.0,3.2452632245563326,-87.56311616443452,0.0,-115.92857142857142
119.0,-122.14285714285714,4.101971705754598,-81.89619954427083,0.0,-116.28571428571426
120.0,-112.85714285714286,4.092679409753709,-77.42225283668155,0.0,-115.64285714285714
121.0,-118.57142857142857,3.704502332778204,-63.56144787016369,0.0,-117.57142857142858
122.0,-119.28571428571429,4.098115489596412,-72.83150227864583,0.0,-117.78571428571429
123.0,-104.28571428571429,4.360901060558501,-119.22750418526786,0.0,-116.57142857142856
124.0,-135.0,3.9826528912498835,-98.63749767485119,0.0,-118.07142857142858
125.0,-122.85714285714286,3.6394363925570534,-66.00440034412202,0.0,-120.14285714285714
126.0,-107.14285714285714,3.717780340285528,-102.963134765625,0.0,-119.85714285714285
127.0,-125.71428571428571,3.9168448334648494,-84.57284109933036,0.0,-118.78571428571429
128.0,-121.42857142857143,4.186609642846244,-75.79235258556548,0.0,-118.92857142857144
129.0,-102.14285714285714,4.004511140641712,-78.08576311383929,0.0,-116.92857142857144
130.0,-98.57142857142857,3.806341466449556,-74.1557849702381,0.0,-115.5
131.0,-148.57142857142858,3.3286763372875394,-69.1556628999256,0.0,-118.5
132.0,-101.42857142857143,4.081019867034185,-87.15265764508929,0.0,-116.71428571428571
133.0,-117.14285714285714,4.40605438323248,-85.38768368675595,0.0,-118.00000000000003
134.0,-105.71428571428571,4.552115326835995,-104.75594075520833,0.0,-115.07142857142856
135.0,-137.14285714285714,4.778721809387207,-68.9228748139881,0.0,-116.5
136.0,-102.85714285714286,3.077597527276902,-43.089451381138396,0.0,-116.07142857142856
137.0,-110.71428571428571,4.193027121680124,-79.46954636346726,0.0,-114.57142857142858
138.0,-117.85714285714286,3.9182493573143367,-79.44107491629464,0.0,-114.21428571428571
139.0,-103.57142857142857,3.423576513926188,-69.15405854724702,0.0,-114.35714285714285
140.0,-97.14285714285714,4.32544892174857,-122.05145554315476,0.0,-114.21428571428574
141.0,-128.57142857142858,2.9785045896257674,-84.23128255208333,0.0,-112.21428571428571
142.0,-136.42857142857142,3.271691844576881,-54.678902762276785,0.0,-115.71428571428571
143.0,-122.85714285714286,3.98110226222447,-85.02432105654762,0.0,-116.28571428571429
144.0,-128.57142857142858,4.020909059615362,-74.38560267857143,0.0,-118.57142857142858
145.0,-100.71428571428571,4.376078991662888,-82.33393787202381,0.0,-114.92857142857142
146.0,-115.71428571428571,4.13266506649199,-60.427344912574405,0.0,-116.21428571428571
147.0,-138.57142857142858,3.564512672878447,-38.797092982700896,0.0,-119.0
148.0,-106.42857142857143,4.394041583651588,-60.97393508184524,0.0,-117.85714285714286
149.0,-108.57142857142857,3.445177293959118,-42.983526320684526,0.0,-118.35714285714285
150.0,-100.71428571428571,3.485757827758789,-62.39333961123512,0.0,-118.71428571428571
151.0,-123.57142857142857,3.701378356842768,-96.40309361049107,0.0,-118.21428571428571
152.0,-125.71428571428571,4.3086225645882745,-88.06009347098214,0.0,-117.14285714285714
153.0,-103.57142857142857,4.2888240700676326,-92.92941429501488,0.0,-115.21428571428571
154.0,-122.85714285714286,3.3361291998908635,-59.772501627604164,0.0,-114.64285714285714
155.0,-128.57142857142858,3.931912354060582,-58.148123604910715,0.0,-117.42857142857142
